This file was created using the 202512 CRSP database.
It contains value- and equal-weighted returns for  5 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,Cnsmr,Manuf,HiTec,Hlth,Other
193502,  -0.19,  -3.47,   0.68,   4.30,  -4.75
193503,  -4.98,  -2.76,  -2.17,  -3.14,  -5.43
193504,   6.14,  11.16,   9.60,   3.18,   8.77
193505,   1.86,   3.78,   5.95,  -4.08,   3.91
193506,   6.71,   5.35,   6.56,   4.08,   6.37
193507,   8.13,   7.18,   7.36,   3.20,   8.13
193508,   2.40,   2.29,   3.71,   0.25,   2.51
193509,   3.88,   1.24,   5.75,   1.10,   0.54
193510,   6.60,   9.03,   5.59,   5.98,   2.45
193511,   2.25,   3.55,   7.97,   1.74,  13.23
193512,   2.66,   6.80,   1.46,   2.35,   4.25
193601,   2.21,   9.07,   5.21,   3.46,  12.41
193602,   1.77,   2.50,   3.73,   3.46,   2.84
193603,   2.92,   1.97,  -1.94,   3.51,  -3.08
193604,  -6.79,  -9.25,  -6.98,  -9.20,  -7.43
193605,   4.97,   4.60,   5.91,   4.80,   7.37
193606,   4.56,   1.73,   1.93,   1.28,   1.78
193607,   4.35,   7.39,   6.70,   4.66,   9.64
193608,   0.77,   0.64,   2.06,  -1.48,   1.86
193609,   1.45,   1.23,  -0.42,   0.77,   0.82
193610,   5.65,   8.68,   5.39,   3.78,   8.06
193611,   3.75,   3.28,   4.63,   3.37,   0.47
193612,  -5.06,   3.42,   1.01,  -2.06,  -1.24
193701,   3.57,   3.75,   3.66,   3.47,   1.07
193702,   0.86,   1.50,  -2.20,  -3.73,   4.78
193703,  -2.46,   1.11,  -3.30,  -5.03,   2.66
193704,  -7.10,  -7.90,  -6.43,  -3.32,  -6.85
193705,  -1.88,   0.01,   1.17,   1.68,  -3.33
193706,  -5.42,  -3.51,   0.00,  -4.13,  -9.01
193707,   8.88,   9.90,   6.32,   4.14,   8.74
193708,  -2.87,  -5.61,  -3.65,   1.10,  -8.36
193709, -11.48, -15.74,  -8.04, -10.80, -15.94
193710,  -8.92, -11.00,  -6.21,  -3.55,  -9.96
193711, -10.89,  -8.70,  -3.99,  -5.13,  -6.78
193712,  -7.38,  -3.08,  -1.85,  -2.41,  -6.85
193801,   5.71,  -1.21,  -2.45,   3.51,   0.49
193802,   4.87,   8.40,   0.69,   8.62,   4.90
193803, -20.60, -25.10, -22.45, -14.54, -30.18
193804,  13.90,  14.72,  14.91,  11.82,  14.60
193805,  -2.82,  -5.64,  -0.87,   1.70,  -3.93
193806,  21.29,  27.79,  19.00,  10.09,  25.08
193807,  10.87,   6.25,   3.41,   5.80,  10.01
193808,  -0.65,  -4.33,  -0.42,   0.36,  -3.74
193809,   0.47,   1.40,   1.25,   0.00,  -1.23
193810,   6.27,   8.43,   6.67,   5.62,  11.08
193811,  -1.61,  -1.79,  -1.81,   1.43,  -2.04
193812,   2.13,   5.25,   2.83,   0.86,   5.97
193901,  -4.28,  -7.44,  -2.69,  -0.96,  -8.73
193902,   4.78,   2.70,   3.17,   3.73,   4.69
193903, -10.44, -13.56,  -8.14,  -4.36, -15.10
193904,   0.46,  -0.69,   0.43,   1.00,  -1.78
193905,   7.60,   6.17,   6.69,   5.50,   8.02
193906,  -3.60,  -5.91,  -5.58,   1.08,  -7.56
193907,  10.02,  10.40,   9.61,   3.08,  12.15
193908,  -7.25,  -6.02,  -5.86,  -5.46,  -9.82
193909,   9.65,  23.44,   6.49,   7.06,  25.76
193910,   2.27,  -2.35,   1.31,   0.22,  -1.61
193911,  -1.72,  -5.51,  -0.59,   1.22,  -5.11
193912,   3.37,   2.90,   3.19,   3.77,   1.35
194001,  -0.71,  -3.50,  -1.85,  -1.79,  -2.75
194002,   1.66,   1.78,   0.37,   1.49,   0.86
194003,   2.66,   1.61,   1.93,   1.91,   2.64
194004,   0.58,   0.36,  -0.43,  -0.31,  -0.74
194005, -23.42, -22.50, -16.87, -21.27, -24.10
194006,   7.23,   6.24,   6.51,   4.93,   8.45
194007,   2.83,   3.48,   3.12,  -0.52,   3.38
194008,   3.66,   1.78,   1.06,  -2.29,   2.89
194009,   2.93,   1.91,   2.68,   4.62,   2.45
194010,   0.68,   4.52,   1.94,  -3.00,   5.30
194011,  -1.20,  -2.50,  -0.79,  -1.86,  -0.14
194012,  -0.77,   1.50,   1.21,  -0.23,   0.22
194101,  -4.12,  -5.45,  -2.28,  -2.19,  -1.61
194102,  -1.33,  -1.63,  -1.50,  -4.71,  -0.33
194103,   0.00,   0.96,   1.21,   1.78,   1.80
194104,  -6.41,  -4.47,  -7.32,  -5.22,  -4.44
194105,   0.01,   3.24,   0.09,  -1.47,  -0.93
194106,   5.28,   5.91,   7.22,   6.72,   4.53
194107,   4.88,   7.93,   0.48,   8.04,   7.52
194108,   1.68,  -1.52,   0.93,   0.08,   0.18
194109,   2.12,  -2.33,  -0.17,  -0.21,  -2.58
194110,  -6.87,  -4.51,  -5.66,  -3.72,  -4.15
194111,  -3.69,  -0.63,  -3.28,  -2.96,  -1.54
194112,  -7.72,  -3.36,  -5.14,  -1.60,  -5.37
194201,   3.11,  -1.53,  -0.43,  -3.02,   9.55
194202,  -1.57,  -3.33,  -1.34,  -5.41,  -1.86
194203,  -5.04,  -6.85,  -6.68,  -5.54,  -9.01
194204,  -4.61,  -4.23,  -5.81,  -4.44,  -1.96
194205,   9.90,   3.60,   7.78,  14.78,   3.48
194206,   2.71,   3.59,   0.57,   2.85,   1.90
194207,   2.90,   3.36,   3.30,   1.60,   6.58
194208,   1.52,   1.90,   1.73,   2.44,   2.43
194209,   0.98,   3.22,   3.41,   0.26,   3.38
194210,   4.03,   8.21,   6.22,   4.14,   8.91
194211,   2.62,  -1.38,   2.36,   1.58,  -2.12
194212,   5.41,   5.85,   2.90,   8.71,   4.48
194301,   7.32,   7.47,   6.50,   2.47,   7.08
194302,   4.82,   6.26,   6.30,   3.65,   9.47
194303,   5.58,   6.19,   3.73,   4.57,  10.14
194304,   1.06,  -0.23,   2.76,   1.40,   2.19
194305,   6.80,   5.40,   5.36,   5.99,   5.59
194306,   3.82,   1.28,   2.35,  -0.66,  -0.80
194307,  -4.85,  -5.02,  -3.54,  -3.32,  -5.22
194308,   2.44,   0.92,   0.72,   0.26,   1.41
194309,   2.01,   2.40,   3.14,   4.02,   2.18
194310,  -1.07,  -1.07,  -1.19,   0.59,  -1.08
194311,  -4.81,  -6.82,  -3.85,  -3.94,  -8.04
194312,   6.92,   6.51,   5.29,   3.95,   7.16
194401,   2.23,   1.26,   0.75,   0.29,   4.50
194402,   1.22,  -0.03,  -0.47,  -2.65,   2.06
194403,   3.34,   2.10,   2.09,   2.46,   2.66
194404,  -1.47,  -1.71,  -1.18,  -2.37,  -2.46
194405,   6.16,   5.11,   3.18,   5.68,   4.27
194406,   6.95,   4.91,   5.17,   3.85,   5.99
194407,  -1.89,  -1.51,  -1.04,  -1.24,  -0.78
194408,   3.18,   1.07,   1.26,   0.76,   0.36
194409,   0.54,  -0.24,  -0.15,   0.43,   0.11
194410,  -0.84,   0.49,   0.79,   1.09,   0.68
194411,   1.96,   1.25,   1.11,   0.52,   4.31
194412,   2.71,   4.42,   2.54,   1.71,   8.48
194501,   1.58,   3.72,  -0.80,   0.56,   0.61
194502,   5.35,   6.98,   4.66,   4.24,   7.90
194503,  -3.67,  -4.76,  -1.94,  -1.83,  -3.59
194504,   8.48,   8.13,   5.19,   6.33,   8.86
194505,   2.74,   0.43,   2.80,   4.12,   3.12
194506,  -0.93,   0.32,   0.42,  -4.66,   4.49
194507,  -0.96,  -2.76,   0.32,  -1.62,  -5.48
194508,   8.45,   6.02,   5.49,   9.22,   2.54
194509,   4.93,   5.06,   2.63,   6.51,   6.11
194510,   4.40,   3.81,   1.57,   6.60,   5.73
194511,   4.17,   5.82,   3.05,   8.59,   9.15
194512,   2.25,   0.74,   1.52,   1.53,   0.14
194601,   7.05,   6.07,   4.14,   7.76,   7.39
194602,  -5.95,  -5.69,  -5.10,  -4.32,  -6.15
194603,   6.16,   7.19,   1.66,  14.58,   4.69
194604,   4.01,   5.56,   1.65,  14.67,   1.69
194605,   3.43,   4.41,   3.97,   5.63,   3.40
194606,  -5.50,  -3.37,  -2.48,  -5.52,  -3.26
194607,  -2.46,  -2.43,  -1.64,  -3.23,  -4.97
194608,  -6.58,  -6.25,  -6.95,  -3.27,  -6.81
194609, -10.74,  -9.56,  -7.15,  -7.03, -14.41
194610,  -1.28,  -1.13,  -4.03,  -0.24,  -0.45
194611,  -2.36,   1.29,  -0.07,   1.66,   0.01
194612,   4.44,   5.94,   4.24,   7.24,   2.76
194701,   3.08,   0.33,   3.05,  -5.32,   0.47
194702,   0.18,  -1.28,  -2.07,  -4.20,  -1.28
194703,  -2.35,  -0.67,  -2.22,  -1.26,  -3.35
194704,  -6.30,  -3.99,  -2.59,  -8.61,  -6.27
194705,  -0.95,  -0.75,  -0.72,  -2.65,  -2.07
194706,   7.27,   6.16,   0.08,   4.20,   3.19
194707,   4.79,   3.69,   3.46,   2.61,   5.98
194708,  -1.83,  -1.24,  -1.89,  -3.83,  -3.18
194709,  -0.56,  -0.59,   0.98,  -2.63,  -0.96
194710,   2.25,   3.43,   0.95,   1.21,   1.00
194711,  -2.18,  -1.76,  -1.59,  -3.06,  -1.98
194712,   1.04,   4.50,   1.45,   3.12,   3.71
194801,  -3.61,  -4.70,  -2.69,  -8.25,  -0.88
194802,  -5.30,  -4.39,  -2.45,  -3.54,  -4.12
194803,   6.32,   9.40,   6.32,   6.35,  10.01
194804,   2.33,   5.15,   1.04,   2.14,   3.26
194805,   8.74,   7.04,   7.51,   6.80,   6.77
194806,  -1.12,   0.89,  -0.52,  -2.19,  -0.78
194807,  -4.17,  -5.63,  -4.11,  -4.26,  -4.99
194808,   1.01,  -0.45,   1.51,  -1.90,   1.53
194809,  -3.12,  -3.06,  -1.68,  -3.10,  -3.46
194810,   5.05,   7.24,   3.89,   5.20,   4.96
194811,  -7.84, -10.74,  -5.65,  -5.75, -10.61
194812,   1.70,   4.10,   3.59,   4.54,   2.87
194901,   2.60,  -0.52,  -1.30,   4.58,   0.30
