This file was created using the 202512 CRSP database.
It contains value- and equal-weighted returns for  5 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,Cnsmr,Manuf,HiTec,Hlth,Other
200704,   3.06,   4.56,   4.12,   6.78,   3.30
200705,   2.61,   4.92,   4.70,   1.14,   3.17
200706,  -1.34,  -0.87,  -0.02,  -3.37,  -2.77
200707,  -4.91,  -1.03,  -1.63,  -4.02,  -5.27
200708,   1.39,   0.71,   1.86,   2.32,   1.18
200709,   1.31,   5.96,   3.60,   3.54,   2.63
200710,   1.55,   2.53,   4.42,   1.41,   0.24
200711,  -2.30,  -2.95,  -7.19,   0.01,  -5.98
200712,  -1.95,   3.38,   1.04,  -3.95,  -3.49
200801,  -2.75,  -7.98, -11.24,  -4.61,  -2.04
200802,  -2.91,   2.42,  -3.65,  -0.93,  -7.90
200803,   1.19,  -1.06,   0.49,  -1.77,  -1.94
200804,   2.55,   7.39,   5.98,   0.43,   3.47
200805,   2.07,   3.73,   5.44,   1.62,  -2.39
200806,  -8.50,  -3.09,  -9.33,  -3.01, -14.76
200807,   1.50,  -7.84,  -1.19,   6.75,   4.39
200808,   3.62,   0.56,   2.77,   1.77,   0.67
200809,  -4.78, -12.71, -12.50,  -5.95,  -6.31
200810, -15.37, -17.66, -17.61, -11.03, -19.72
200811,  -6.39,  -3.08,  -8.60,  -7.33, -12.36
200812,   2.99,  -0.77,   2.51,   6.74,   0.81
200901,  -6.77,  -5.47,  -5.10,  -2.20, -17.66
200902,  -5.32, -12.93,  -5.55, -10.82, -14.59
200903,   8.63,   5.23,  10.60,   7.41,  13.07
200904,   9.02,   9.30,  11.66,  -0.94,  16.22
200905,   2.04,   7.31,   2.58,   6.21,   7.16
200906,   0.30,  -1.91,   3.87,   3.61,  -2.00
200907,   7.66,   7.78,   7.53,   5.48,   9.17
200908,   2.46,   1.67,   1.94,   2.20,   7.73
200909,   3.10,   5.26,   5.50,   2.18,   3.12
200910,  -0.26,  -0.85,  -2.04,  -3.47,  -5.45
200911,   4.86,   5.42,   5.25,   8.07,   5.96
200912,   2.44,   2.08,   6.07,   2.47,   0.88
201001,  -1.97,  -4.07,  -7.59,  -0.01,  -0.53
201002,   3.85,   3.31,   4.36,   0.38,   3.61
201003,   6.29,   4.76,   6.88,   3.63,   8.10
201004,   1.50,   3.45,   2.51,  -2.18,   1.81
201005,  -5.79,  -8.74,  -7.36,  -8.08,  -8.75
201006,  -6.55,  -5.13,  -5.66,  -1.66,  -6.50
201007,   6.38,   8.57,   7.77,   2.14,   6.78
201008,  -3.25,  -3.86,  -5.52,  -1.70,  -7.10
201009,   9.77,   8.70,  11.47,   9.00,   8.51
201010,   3.60,   4.42,   6.00,   1.94,   2.03
201011,   2.73,   2.40,  -0.99,  -3.34,   0.49
201012,   4.07,   7.26,   6.12,   5.45,   9.23
201101,  -1.39,   4.30,   3.07,  -0.72,   2.10
201102,   2.84,   4.84,   3.47,   3.33,   2.95
201103,   1.90,   1.82,  -0.74,   2.26,  -1.10
201104,   4.42,   2.55,   3.15,   6.25,   1.06
201105,   1.00,  -2.57,  -1.19,   1.99,  -2.64
201106,  -0.97,  -1.20,  -2.21,  -1.87,  -2.11
201107,  -1.34,  -2.14,  -1.55,  -3.67,  -3.64
201108,  -2.81,  -6.59,  -6.39,  -3.13,  -8.16
201109,  -5.05,  -9.87,  -4.99,  -3.97, -11.09
201110,   9.32,  13.52,  10.87,   5.52,  13.58
201111,   0.44,   1.60,  -1.49,   1.30,  -2.04
201112,   1.15,   0.01,  -0.44,   3.47,   1.47
201201,   3.30,   2.97,   7.10,   3.43,   7.23
201202,   3.65,   4.40,   6.31,   1.25,   4.20
201203,   4.11,  -0.67,   4.18,   3.95,   4.91
201204,   0.26,  -0.64,  -1.33,   0.60,  -1.68
201205,  -3.24,  -7.64,  -6.34,  -3.24,  -7.72
201206,   2.15,   3.16,   3.84,   6.84,   4.91
201207,   1.19,   2.06,   0.84,   1.63,  -1.23
201208,   1.81,   1.74,   3.93,   0.97,   3.13
201209,   1.63,   2.54,   2.02,   4.68,   3.83
201210,  -0.79,  -0.79,  -5.45,  -1.92,   0.93
201211,   2.21,   0.07,   1.15,   1.51,  -0.38
201212,  -0.93,   1.81,   0.55,  -0.53,   3.66
201301,   5.20,   6.40,   2.97,   8.08,   6.76
201302,   1.61,   1.21,   1.06,   1.33,   1.40
201303,   4.83,   2.91,   3.41,   6.52,   4.19
201304,   3.21,   0.69,   1.34,   2.59,   0.83
201305,   1.07,   1.49,   2.97,   1.61,   5.94
201306,  -0.03,  -1.69,  -1.75,  -1.38,  -1.20
201307,   5.05,   5.57,   5.17,   8.07,   5.65
201308,  -3.85,  -2.29,  -0.91,  -3.67,  -3.68
201309,   3.76,   3.36,   3.92,   4.17,   3.83
201310,   4.60,   4.46,   4.23,   3.55,   3.83
201311,   2.66,   1.47,   2.79,   4.50,   4.70
201312,   1.12,   2.87,   3.98,   0.59,   3.15
201401,  -5.95,  -4.15,  -1.94,   1.79,  -4.33
201402,   4.90,   5.13,   4.59,   6.35,   3.45
201403,   0.72,   1.40,  -0.45,  -2.47,   2.04
201404,   0.06,   2.99,  -0.74,  -0.33,  -1.94
201405,   1.84,   0.93,   3.57,   1.85,   1.78
201406,   1.53,   3.01,   2.58,   2.87,   2.44
201407,  -3.11,  -4.31,   0.29,  -0.34,  -2.26
201408,   5.21,   4.00,   3.36,   5.54,   4.11
201409,  -1.66,  -4.54,  -1.41,  -0.22,  -1.11
201410,   2.77,   0.86,   1.52,   5.92,   3.41
201411,   6.27,  -1.95,   3.89,   2.52,   2.51
201412,   0.09,   0.46,  -1.43,  -0.83,   1.18
201501,  -0.79,  -3.00,  -3.68,   1.58,  -6.40
201502,   5.68,   3.70,   8.37,   4.00,   7.24
201503,  -0.50,  -1.87,  -2.43,   0.86,  -0.61
201504,  -1.00,   1.63,   1.90,  -1.55,   0.62
201505,   1.21,  -1.22,   1.58,   4.99,   1.72
201506,  -1.03,  -3.10,  -2.94,   0.37,   0.03
201507,   4.46,  -3.19,   2.06,   3.50,   1.82
201508,  -4.96,  -4.76,  -6.37,  -8.38,  -6.17
201509,  -1.67,  -3.92,  -1.56,  -6.92,  -3.06
201510,   5.65,   8.67,   9.90,   7.51,   6.57
201511,   0.47,  -0.15,   0.53,   0.58,   1.38
201512,  -0.03,  -4.56,  -2.61,   0.32,  -2.67
201601,  -3.52,  -3.36,  -4.72, -10.12,  -8.73
201602,   0.55,   1.26,  -0.52,  -0.97,  -0.42
201603,   5.70,   8.16,   8.00,   3.95,   7.15
201604,  -0.11,   3.51,  -3.19,   4.96,   2.41
201605,   0.73,   0.00,   4.08,   2.42,   1.20
201606,   1.67,   2.71,  -0.69,  -0.17,  -3.07
201607,   2.67,   1.15,   6.37,   6.16,   3.73
201608,  -0.96,   0.36,   0.74,  -3.15,   3.29
201609,  -1.38,   1.16,   1.87,   0.60,  -1.02
201610,  -2.64,  -2.28,  -1.51,  -7.53,   0.77
201611,   1.43,   5.40,   1.90,   2.39,  11.50
201612,   1.37,   1.53,   1.75,   0.69,   2.96
201701,   1.47,   0.59,   4.33,   2.02,   0.93
201702,   3.03,   2.19,   3.79,   6.97,   3.72
201703,   0.78,  -0.19,   1.86,   0.04,  -1.62
201704,   1.79,   0.30,   2.06,   0.93,   0.39
201705,   2.10,   0.26,   2.99,  -0.27,  -0.40
201706,  -1.22,   0.25,  -2.12,   5.53,   4.39
201707,   0.00,   2.30,   3.94,   0.69,   1.44
201708,  -1.51,  -0.74,   1.95,   2.59,  -0.57
201709,   1.73,   4.49,   0.22,   2.08,   4.57
201710,   1.67,   2.18,   4.64,  -2.25,   2.22
201711,   5.76,   3.13,   1.54,   2.48,   3.92
201712,   2.08,   1.57,   0.59,  -0.16,   1.36
201801,   6.34,   2.44,   6.96,   6.39,   5.91
201802,  -5.16,  -6.01,  -1.16,  -3.49,  -3.32
201803,  -2.34,   0.13,  -3.04,  -2.39,  -2.65
201804,   1.00,   1.37,  -0.49,  -0.05,   0.59
201805,   0.59,   2.35,   5.58,   2.38,   1.45
201806,   3.16,   0.11,   0.57,   1.47,  -0.94
201807,   2.69,   3.34,   2.58,   5.90,   3.74
201808,   4.68,  -0.84,   6.54,   4.50,   2.40
201809,   0.29,   1.50,   0.20,   2.08,  -1.50
201810,  -6.03,  -8.55,  -7.64,  -8.79,  -6.76
201811,   2.19,   2.49,  -0.97,   6.41,   2.84
201812,  -9.86,  -9.05,  -8.29,  -8.24, -10.82
201901,   8.22,   8.91,   8.70,   5.31,   9.74
201902,   1.17,   4.16,   5.27,   3.30,   3.08
201903,   2.84,   0.72,   3.30,   0.51,  -1.36
201904,   4.11,   2.43,   5.84,  -3.16,   6.67
201905,  -6.36,  -8.27,  -7.80,  -3.40,  -6.12
201906,   6.92,   7.24,   7.60,   6.82,   6.59
201907,   1.17,  -0.37,   3.40,  -2.16,   1.77
201908,  -0.65,  -2.19,  -2.17,  -0.64,  -4.63
201909,   1.32,   3.83,   1.29,  -0.98,   1.91
201910,   0.92,  -0.76,   3.12,   4.66,   3.09
201911,   2.21,   1.52,   4.86,   5.48,   5.05
201912,   2.24,   3.03,   3.44,   3.45,   2.36
202001,   0.95,  -3.03,   2.61,  -1.99,  -1.34
202002,  -7.34, -10.31,  -6.89,  -5.37,  -9.87
202003,  -9.87, -19.28, -10.23,  -5.09, -19.22
202004,  15.85,  12.64,  14.19,  13.45,  11.45
202005,   4.32,   4.57,   7.30,   4.16,   4.60
202006,   3.97,   0.17,   4.76,  -1.44,   0.50
202007,   9.32,   3.41,   6.67,   4.39,   3.81
202008,  10.13,   2.98,  10.08,   2.35,   6.79
202009,  -4.05,  -2.38,  -4.90,  -1.43,  -2.95
202010,  -2.75,   0.00,  -2.01,  -4.37,  -1.70
202011,  11.43,  12.96,  11.11,   9.83,  15.88
202012,   3.97,   2.54,   5.09,   4.71,   5.67
202101,   0.68,  -0.85,   0.12,   3.42,  -2.72
202102,  -2.04,   5.95,   1.65,  -1.25,   9.79
202103,   5.35,   7.32,   0.95,  -0.09,   5.26
202104,   5.81,   2.48,   6.07,   2.96,   5.70
202105,  -1.69,   2.50,  -0.85,  -0.12,   2.77
202106,   2.43,  -0.01,   6.07,   4.41,  -2.02
202107,   0.07,  -0.20,   3.29,   2.84,  -0.57
202108,   1.72,   0.80,   4.34,   2.84,   2.70
202109,  -3.40,  -2.82,  -6.09,  -6.02,  -2.45
202110,   8.75,   6.01,   7.03,   2.23,   6.68
202111,   0.49,  -1.87,   0.76,  -4.26,  -5.48
202112,   1.64,   5.84,   1.84,   6.58,   4.94
202201,  -7.41,  -0.83,  -7.94,  -8.77,  -3.26
202202,  -2.26,   0.87,  -4.14,  -1.01,  -1.72
202203,   4.34,   4.71,   2.80,   5.15,   1.09
202204,  -8.45,  -3.99, -12.44,  -6.91,  -9.13
202205,  -4.30,   4.69,  -1.22,   0.96,   0.62
202206,  -7.41, -10.80,  -7.99,  -2.02,  -9.96
202207,  14.01,   8.43,  10.64,   2.77,   8.86
202208,  -3.28,  -0.90,  -5.18,  -5.04,  -2.51
202209,  -7.62, -10.92, -11.68,  -1.92,  -8.09
202210,   3.76,  13.49,   5.50,   8.78,  11.49
202211,   2.30,   6.15,   5.11,   5.35,   5.90
202212,  -9.41,  -2.66,  -7.86,  -1.72,  -5.36
202301,   9.12,   3.59,   9.91,  -1.05,   7.51
202302,  -1.96,  -3.94,  -0.73,  -4.29,  -2.44
202303,   2.73,   0.82,   9.63,   2.49,  -5.00
202304,  -0.07,   0.71,   0.30,   4.12,   1.80
202305,   0.58,  -6.68,   7.26,  -3.66,  -2.84
202306,   8.95,   7.97,   5.83,   4.66,   7.44
202307,   2.35,   4.18,   4.03,  -0.12,   5.38
202308,  -1.81,  -1.82,  -1.54,  -0.23,  -3.38
202309,  -4.93,  -3.95,  -5.86,  -4.70,  -3.41
202310,  -3.49,  -3.01,  -1.68,  -4.59,  -2.69
202311,   7.86,   5.20,  11.75,   5.80,  10.45
202312,   5.49,   3.85,   4.48,   6.91,   6.62
202401,  -2.32,  -1.24,   3.19,   3.52,   0.99
202402,   7.52,   4.22,   5.70,   4.63,   4.65
202403,   1.70,   6.40,   2.40,   2.19,   4.49
202404,  -3.60,  -2.08,  -4.52,  -5.87,  -4.56
202405,   1.77,   3.09,   7.87,   3.20,   3.26
202406,   2.67,  -2.41,   7.16,   2.93,  -0.13
202407,   2.67,   3.65,  -1.48,   0.83,   6.20
202408,   1.06,   1.09,   1.35,   6.41,   3.06
202409,   4.41,   1.74,   3.10,  -1.84,   0.67
202410,  -1.69,  -2.21,  -0.09,  -3.15,   1.10
202411,  10.92,   6.36,   5.16,  -0.51,  10.18
202412,  -0.45,  -8.07,   0.93,  -5.38,  -7.08
202501,   4.63,   3.08,   0.33,   6.35,   6.31
202502,  -5.38,   0.09,  -3.30,   3.50,  -0.56
202503,  -6.31,  -1.42,  -8.72,  -4.16,  -4.34
202504,   1.29,  -4.83,   0.77,  -0.66,  -1.53
202505,   6.55,   4.90,  10.30,  -3.95,   4.31
202506,   0.60,   3.36,   8.79,   2.01,   4.17
202507,   0.99,   2.70,   5.21,  -1.28,  -1.19
202508,   2.19,   1.33,   1.09,   4.73,   4.22
202509,   2.35,   2.25,   6.70,   2.03,   0.28
202510,   1.07,   1.51,   5.11,   4.28,  -2.78
202511,   0.32,   0.95,  -2.48,  10.86,   1.74
202512,  -0.25,  -0.28,  -0.46,  -1.53,   1.97


  Average Equal Weighted Returns -- Monthly
,Cnsmr,Manuf,HiTec,Hlth,Other
192607,   1.71,   1.29,   1.98,   2.53,   0.10
192608,   2.75,   2.32,   2.30,   6.03,   4.45
192609,  -0.85,  -0.29,   0.70,   0.81,  -0.45
192610,  -4.23,  -2.97,  -4.69,   0.13,  -2.75
192611,   3.53,   2.12,   1.36,   7.22,   1.02
192612,   1.85,   3.62,   1.49,   0.40,   1.22
192701,  -1.77,   1.40,   0.37,   6.16,   5.14
192702,   3.68,   5.65,   8.03,   2.47,   6.80
192703,  -2.10,  -2.86,  -0.94,  -0.21,  -0.41
192704,   1.17,   0.22,   1.73,   5.80,   1.30
192705,   5.41,   6.79,   2.86,   4.80,   8.43
192706,  -2.54,  -2.22,   0.80,   3.61,  -1.18
192707,   6.36,   5.89,   7.12,   8.59,   4.58
192708,   1.67,   0.09,  -1.34,   0.14,  -1.44
192709,   2.34,   2.91,   4.48,   6.01,   3.73
192710,  -2.59,  -4.71,  -3.59,   5.15,  -4.89
192711,   8.57,  11.16,  11.96,   5.05,   7.80
192712,   3.80,   3.20,   1.54,  -1.43,   2.01
192801,   2.56,   4.13,   1.00,   1.45,   3.14
192802,  -2.17,  -2.45,  -0.02,  -3.02,  -3.18
192803,   7.70,   6.28,  11.24,   8.87,   5.76
192804,   4.29,  13.26,   4.13,   3.35,   8.02
192805,   4.92,   1.41,  10.57,   7.24,   4.70
192806,  -7.82,  -6.81,  -5.02,  -1.41,  -5.95
192807,   0.92,   0.42,   0.13,  -0.81,  -0.95
192808,   6.82,   5.62,   4.95,   9.45,   4.32
192809,   4.07,   7.30,   2.76,  -0.05,   2.96
192810,   3.03,   1.04,   2.81,   0.24,  -0.02
192811,   9.70,  14.39,  13.25,   3.51,  10.66
192812,  -0.09,  -0.40,   2.67,  -0.92,  -1.48
192901,   1.08,   3.88,   7.45,   4.33,   5.89
192902,  -1.20,   1.83,   3.43,  -0.07,   1.45
192903,  -6.02,  -0.70,   6.85,  -0.51,  -4.31
192904,   1.12,   1.60,   3.37,   2.43,   1.29
192905,  -9.32, -10.23,  -4.84,  -6.96,  -6.59
192906,   5.75,  10.50,  12.10,   4.75,   5.50
192907,   0.43,   2.66,   7.17,   3.12,   2.79
192908,   0.63,   3.94,   6.60,  -0.52,   3.14
192909,  -4.83,  -4.22,  -2.47,  -5.80,  -4.12
192910, -21.13, -21.99, -24.20, -17.14, -16.12
192911, -12.92, -11.17, -18.57,  -4.60, -10.44
192912,  -4.17,  -2.82,   3.87,   3.96,  -0.63
193001,  10.85,  11.14,   8.69,   2.39,   9.83
193002,   2.81,   3.10,   6.98,   3.78,   4.02
193003,   8.15,  14.13,  10.16,   8.13,   7.73
193004,  -4.44,  -5.11,  -0.72,  -3.32,  -5.26
193005,  -3.16,  -4.07,  -6.21,  -1.88,  -3.35
193006, -18.46, -18.97, -22.43, -11.15, -16.86
193007,   3.35,   4.13,   6.34,   8.97,   2.86
193008,  -1.35,  -2.57,   0.50,   1.16,   1.36
193009, -13.77, -16.31, -19.59,  -5.83, -15.41
193010,  -8.05, -10.93, -13.82,  -5.24,  -9.42
193011,  -0.10,  -3.59,  -0.87,  -1.05,  -4.48
193012, -12.66, -14.86, -11.52, -11.03, -14.11
193101,  13.43,  13.08,  13.74,   8.00,  18.66
193102,  16.53,  15.66,  21.37,  16.20,  11.42
193103,  -1.72,  -8.69, -10.17,   0.62,  -9.03
193104, -13.91, -17.01, -13.88, -11.43, -14.22
193105, -11.38, -15.94, -11.48, -15.95, -15.61
193106,  13.75,  20.40,  15.72,  12.30,  22.14
193107,  -3.59,  -8.39,  -8.73,  -3.29,  -8.98
193108,  -1.87,  -0.27,  -2.01,  -1.11,  -5.21
193109, -29.51, -32.86, -35.08, -32.02, -29.35
193110,  10.49,  12.53,  12.19,  13.23,   5.79
193111,  -6.58,  -8.47, -10.71,  -9.07, -13.61
193112, -16.59, -18.96, -18.44, -11.57, -21.67
193201,   7.75,   6.67,   5.67,   0.97,  16.35
193202,   2.64,   2.30,   3.77,  -1.72,   1.02
193203, -11.75, -11.21, -14.04,  -9.06, -15.08
193204, -16.89, -18.43, -23.01, -13.65, -18.65
193205, -18.43, -18.53, -19.50, -26.50, -25.16
193206,   5.25,   4.36,   3.86,   5.66,   1.88
193207,  31.95,  46.20,  43.89,  30.91,  56.51
193208,  64.41,  64.27,  51.55,  40.21,  76.88
193209,  -3.88,  -6.67,  -6.47,  -2.86,  -7.95
193210, -15.97, -16.07, -17.81, -17.01, -18.00
193211,  -7.53,  -6.50,  -7.93,  -3.83, -10.28
193212,  -4.26,  -1.25,  -1.86,  -0.96,  -5.14
193301,   2.75,   2.54,   4.96,  -1.45,   7.50
193302, -14.75, -15.89, -15.99, -11.31, -16.17
193303,  12.80,  11.05,   8.84,   5.24,   2.44
193304,  53.82,  54.60,  51.18,  23.03,  44.44
193305,  58.90,  59.75,  46.23,  34.68,  65.79
193306,  24.37,  20.23,  15.65,   9.01,  22.82
193307, -11.01, -11.54,  -5.70, -18.43,  -2.25
193308,  11.52,  12.55,  14.40,   3.53,   8.44
193309, -15.06, -14.09, -14.02,  -7.31, -17.75
193310, -10.20, -10.56, -12.37,  -4.95, -12.32
193311,   6.49,   8.08,  10.12,   6.50,   3.41
193312,   2.26,   1.28,   6.86, -11.04,   1.03
193401,  33.08,  29.91,  32.48,  28.60,  35.59
193402,   2.62,   0.82,  -4.72,  -3.91,   0.75
193403,   1.85,  -0.50,   2.61,  -1.91,   0.52
193404,  -0.26,   0.39,  -2.15,   1.24,   0.44
193405, -10.86, -12.09,  -8.48,  -9.76,  -9.35
193406,  -0.03,   1.54,   3.89,   1.37,  -2.50
193407, -16.54, -18.94, -16.13, -12.44, -22.90
193408,   8.33,  10.52,   8.63,   2.42,  11.11
193409,   0.58,  -2.22,  -0.86,  -1.40,  -0.91
193410,   0.43,  -2.69,  -0.67,   1.82,  -5.14
193411,  14.24,  15.61,  14.22,   4.83,   6.47
193412,   1.61,   2.27,   0.17,   0.10,  -0.06
193501,  -3.29,  -2.11,  -4.66,  -1.53,  -5.00
193502,  -5.14,  -5.37,  -1.57,  -1.04,  -9.33
193503,  -8.16,  -6.32,  -6.16,  -4.69,  -8.52
193504,   7.47,  11.25,  12.34,   3.30,  10.81
193505,   1.33,   3.28,   2.03,  -1.35,   2.95
193506,   4.34,   3.99,  10.95,   4.02,   2.64
193507,   9.63,  12.24,  14.09,  10.04,  10.67
193508,   6.91,   7.07,   3.39,   0.56,  13.22
193509,   4.24,   2.10,   4.39,   5.84,  -0.83
193510,   8.55,  10.08,  16.63,  10.08,   2.94
193511,  10.20,  12.01,   9.69,   1.44,  29.85
193512,   2.31,   9.20,   8.49,   8.48,   3.59
193601,  11.03,  15.82,   9.43,  13.98,  23.45
193602,   4.27,   4.68,   3.66,   1.26,   5.34
193603,   1.56,   1.10,  -0.33,   3.47,  -1.99
193604, -11.81, -12.84, -10.16, -14.09, -12.38
193605,   4.61,   5.05,   6.20,   6.25,   6.51
193606,   1.28,  -0.93,   0.58,   0.76,  -0.72
193607,   7.50,   8.95,   8.96,   5.92,   7.75
193608,   2.05,   2.34,   0.41,  -1.07,   2.34
193609,   3.66,   3.41,   4.87,   1.03,   2.52
193610,   6.50,   7.12,   4.86,   3.54,   6.47
193611,  10.15,   9.51,   6.44,   5.44,   7.91
193612,  -2.39,   7.13,  -0.97,  -2.47,   3.27
193701,   6.34,   9.75,   4.22,   8.96,   6.93
193702,   2.14,   1.27,   0.63,  -3.49,   6.60
193703,  -2.01,   2.32,  -4.47,  -3.37,   1.37
193704,  -9.81, -10.12,  -9.05,  -5.41, -11.58
193705,  -3.08,  -1.13,   0.73,   0.26,  -4.33
193706,  -6.86,  -6.49,  -5.31,  -6.91, -12.43
193707,   9.38,  10.50,   8.79,   6.21,  10.44
193708,  -4.74,  -5.45,  -2.09,  -4.45,  -6.86
193709, -18.28, -20.85, -19.35, -12.58, -19.32
193710,  -9.49, -10.94, -11.66,  -4.84,  -9.26
193711, -12.65, -10.27, -10.98,  -9.72,  -9.46
193712, -11.56,  -8.73,  -6.08,  -6.74, -13.36
193801,   7.19,   2.04,   2.81,   4.11,   4.59
193802,   4.36,   8.18,   9.06,   5.24,   4.32
193803, -26.62, -29.60, -29.23, -16.44, -31.17
193804,  18.71,  21.75,  21.72,  13.63,  21.44
193805,  -6.62,  -7.97,  -5.94,  -2.40,  -6.31
193806,  28.88,  35.08,  32.31,  15.43,  27.74
193807,  14.65,  10.08,  12.57,   6.46,  13.17
193808,  -5.31,  -6.13,  -4.18,  -2.78,  -9.43
193809,  -1.73,  -0.81,  -1.10,  -1.87,  -2.55
193810,  13.23,  15.56,  12.21,   9.67,  15.06
193811,  -3.33,  -2.61,  -4.18,   1.50,  -6.76
193812,  -0.10,   4.76,   5.49,  -0.20,   3.74
193901,  -5.32,  -9.28,  -8.16,  -5.45,  -7.89
193902,   4.88,   3.73,   3.32,   4.91,   3.70
193903, -14.66, -19.67, -17.36,  -8.19, -17.02
193904,   1.01,  -0.07,   0.30,  -0.23,  -1.75
193905,   8.79,   8.95,  11.19,   6.14,   6.56
193906,  -6.23,  -9.15, -11.07,  -3.02, -10.84
193907,  11.98,  15.01,  17.24,   8.22,  12.56
193908, -10.27, -10.44, -11.43, -10.38, -11.46
193909,  29.76,  44.15,  19.23,  14.88,  56.67
193910,   1.75,  -1.78,   0.14,   2.87,  -3.61
193911,  -5.58,  -9.72,  -4.05,  -3.33, -10.60
193912,   1.58,   2.87,   1.85,   0.39,  -1.32
194001,  -0.09,  -3.96,  -1.35,  -1.13,  -0.64
194002,   4.25,   2.69,   2.46,   1.54,   1.46
194003,   2.79,   2.08,   4.55,   4.88,   3.46
194004,   1.44,   2.06,  -0.16,   1.70,  -0.07
194005, -27.49, -26.92, -23.98, -22.37, -27.84
194006,   6.43,   7.59,   5.01,   3.69,   6.34
194007,   3.17,   4.04,   4.51,   1.50,   3.99
194008,   2.55,   2.13,   5.33,  -0.97,   0.42
194009,   3.68,   4.41,   2.76,   4.44,   2.27
194010,   3.00,   6.62,   6.52,  -0.18,   3.47
194011,   1.53,  -0.73,  -2.43,  -0.51,  -1.66
194012,  -2.11,  -0.68,  -0.05,  -0.68,  -4.79
194101,  -0.46,  -4.84,  -0.40,   3.43,   8.56
194102,  -2.48,  -2.06,   0.42,  -3.35,  -1.50
194103,   1.44,  -0.03,   2.44,   0.29,   3.88
194104,  -6.33,  -5.71,  -6.21,  -5.87,  -4.54
194105,   0.47,   2.34,  -0.32,   3.28,  -0.94
194106,   7.28,   7.12,   6.51,   4.42,   3.90
194107,  13.31,  11.32,   8.03,  12.65,  17.62
194108,   0.63,  -1.53,  -1.13,   0.44,  -1.88
194109,  -0.72,  -2.72,  -0.34,   2.56,  -3.72
194110,  -6.25,  -6.32,  -7.16,  -2.49,  -6.39
194111,  -3.68,  -3.43,  -2.91,   0.03,  -3.53
194112,  -9.03,  -6.88,  -6.69,  -4.08, -11.39
194201,  10.18,   8.33,   6.20,   2.95,  38.44
194202,  -1.82,  -1.07,  -2.39,  -5.42,  -2.75
194203,  -4.69,  -4.70,  -0.69,  -4.48,  -9.13
194204,  -4.92,  -5.42,  -4.49,  -3.16,  -1.99
194205,   4.22,   1.68,   7.48,   7.66,   1.56
194206,   2.59,   2.30,   3.08,   4.64,   2.08
194207,   4.72,   3.40,   5.08,   2.46,   7.21
194208,   2.05,   2.49,   1.82,   3.02,   5.61
194209,   2.99,   4.45,   5.22,   2.04,   8.82
194210,   7.90,  10.76,  12.28,   4.80,  11.83
194211,   0.54,  -2.69,   1.48,   1.68,  -3.64
194212,   2.56,   4.08,   8.22,   9.54,   1.57
194301,  15.63,  15.32,   9.26,   6.07,  26.33
194302,   9.68,  11.22,   7.36,   6.06,  27.17
194303,  12.12,  10.15,  10.00,  11.96,  12.04
194304,   5.03,   1.31,   3.69,   5.01,   6.04
194305,   8.26,   7.71,   9.04,   4.89,  11.06
194306,   3.71,   0.54,   2.82,   0.49,  -2.62
194307,  -4.95,  -7.28,  -7.58,  -2.80,  -7.13
194308,   1.18,   0.02,   0.47,  -1.01,  -0.53
194309,   4.08,   3.07,   4.88,   3.86,   3.14
194310,   0.16,  -0.28,  -0.31,  -0.05,  -1.52
194311,  -7.44,  -9.20,  -8.31,  -5.68, -10.59
194312,  10.23,   9.57,  11.18,   5.95,   9.06
194401,   4.33,   4.09,   5.03,   2.52,   6.22
194402,   1.73,   1.07,  -0.52,  -2.30,   2.98
194403,   4.86,   3.32,   4.03,   5.86,   4.67
194404,  -2.50,  -2.93,  -2.44,  -1.87,  -4.01
194405,   8.07,   6.14,   6.99,   5.44,   4.82
194406,  10.85,   9.66,   9.46,   5.62,  13.32
194407,  -0.73,  -1.33,  -1.94,  -2.63,  -1.96
194408,   4.42,   2.89,   1.82,   0.07,   1.80
194409,   0.18,   0.09,   0.21,   1.55,  -0.59
194410,   0.57,  -0.24,   0.13,  -0.60,  -0.17
194411,   2.54,   1.99,   1.09,   1.48,   3.30
194412,   4.39,   6.71,   5.84,   5.31,  13.07
194501,   4.64,   5.01,   2.97,   1.75,   3.16
194502,   7.22,   9.12,   5.86,   6.28,  10.74
194503,  -4.83,  -6.36,  -6.19,  -3.34,  -5.60
194504,   8.84,   8.79,   8.71,   9.73,   9.43
194505,   4.42,   1.67,   1.09,   3.96,   4.06
194506,   2.42,   3.29,   0.07,  -3.31,   8.65
194507,  -2.25,  -3.48,  -3.70,  -2.09,  -5.67
194508,   7.86,   7.06,   7.96,   9.99,   2.37
194509,   5.81,   6.70,   4.50,   6.96,   6.71
194510,   7.54,   5.71,   2.83,   7.62,   7.46
194511,  10.24,   8.48,   7.22,   9.50,  12.25
194512,   3.34,   2.03,   2.63,   2.81,   1.48
194601,   8.70,   9.42,   6.20,   9.56,  11.47
194602,  -6.32,  -6.29,  -7.78,  -4.33,  -7.46
194603,   6.90,   6.42,   2.70,  15.63,   2.83
194604,   6.81,   5.13,   1.93,  13.60,   3.27
194605,   5.52,   6.11,   5.52,   5.93,   3.99
194606,  -5.72,  -4.36,  -6.02,  -6.94,  -4.25
194607,  -2.55,  -4.23,  -5.21,  -3.90,  -5.59
